verse_id,text,chapter,ppl_gpt,z_gpt,ppl_dicta,z_dicta,CFI,shared_seam,cfi_percentile
Isa.3.9,הכרת פניהם ענתה בם וחטאתם כסדם הגידו לא כחדו אוי לנפשם כי גמלו להם רעה,3,47.7905179,-0.5878600168,4263.9940151826,0.5323239463,-0.05553607049999998,False,57.63
Isa.3.10,אמרו צדיק כי טוב כי פרי מעלליהם יאכלו,3,24.0236614851,-0.781741427,42.3339538251,-0.727424495,-1.509165922,False,17.04
Isa.3.11,אוי לרשע רע כי גמול ידיו יעשה לו,3,26.6166462133,-0.7083721491,26.2691362523,-0.6906510442,-1.3990231933000001,False,20.99
Isa.3.12,עמי נגשיו מעולל ונשים משלו בו עמי מאשריך מתעים ודרך ארחתיך בלעו,3,898.129642949,0.2374187869,32827.8731243532,1.9209948165,2.1584136034,False,86.91
Isa.3.13,נצב לריב יהוה ועמד לדין עמים,3,2378.3761877002,1.8711715864,5589.762899403,-0.4433722476,1.4277993388,False,80.25
Isa.3.14,יהוה במשפט יבוא עם זקני עמו ושריו ואתם בערתם הכרם גזלת העני בבתיכם,3,82.4939118561,-0.7072212806,8877.632529887,-0.6642891324,-1.371510413,False,22.23
Isa.3.15,מלכם מה לכם תדכאו עמי ופני עניים תטחנו נאם אדני יהוה צבאות,3,183.8050657168,-0.4857560935,6001.8343911626,-0.7058825062,-1.1916385997,False,30.21
Isa.3.16,ויאמר יהוה יען כי גבהו בנות ציון ותלכנה נטוות נטויות גרון ומשקרות עינים הלוך וטפ,3,19.2380136421,-1.1017145604,45442.5553963609,0.1314917697,-0.9702227907000001,False,39.35
Isa.3.17,ושפח אדני קדקד בנות ציון ויהוה פתהן יערה,3,419.8585823391,0.2264375571,121401.9875177437,-0.4318806724,-0.2054431153,False,55.85
Isa.3.18,ביום ההוא יסיר אדני את תפארת העכסים והשביסים והשהרנים,3,144.6753219889,-0.8313865403,17129.201560583,-0.6188814323,-1.4502679726,False,19.36
Isa.3.19,הנטיפות והשירות והרעלות,3,955.8703254796,1.7062910759,2771736.0034007146,1.9850879952,3.6913790711,False,96.28
Isa.3.20,הפארים והצעדות והקשרים ובתי הנפש והלחשים,3,550.6164639579,0.4985390846,405988.7487558365,-0.6487779115,-0.15023882689999996,False,56.47
Isa.3.21,הטבעות ונזמי האף,3,151.6156883856,-0.6766982925,171247.1556737095,-1.0608369401,-1.7375352326,False,10.22
Isa.3.22,המחלצות והמעטפות והמטפחות והחריטים,3,143.5317907616,-0.7110416075,5273825.70192027,1.8607946655,1.149753058,False,74.67
Isa.3.23,והגלינים והסדינים והצניפות והרדידים,3,84.7020936546,-0.8472331995,2045864.9597998399,0.2666668139,-0.5805663856,False,50.12
Isa.3.24,והיה תחת בשם מק יהיה ותחת חגורה נקפה ותחת מעשה מקשה קרחה ותחת פתיגיל מחגרת שק כי,3,877.8538530782,0.1831650353,11213.5566961903,-0.7879552131,-0.6047901778,False,49.57
Isa.3.25,מתיך בחרב יפלו וגבורתך במלחמה,3,413.5718645014,-0.3899836724,11861.1961075242,-0.6512471425,-1.0412308149,False,36.48
Isa.3.26,ואנו ואבלו פתחיה ונקתה לארץ תשב,3,2166.6299702958,1.8468084779,558360.3344425263,1.9995422104,3.8463506883000003,False,97.91
Isa.4.1,והחזיקו שבע נשים באיש אחד ביום ההוא לאמר לחמנו נאכל ושמלתנו נלבש רק יקרא שמך עלי,4,51.1550238893,-0.5948863006,2102.0470568299,-0.5069521979,-1.1018384985,False,34.24
Isa.4.2,ביום ההוא יהיה צמח יהוה לצבי ולכבוד ופרי הארץ לגאון ולתפארת לפליטת ישראל,4,60.5369162296,-0.5481709328,58.2861905778,-0.5061077096,-1.0542786424,False,36.17
Isa.4.3,והיה הנשאר בציון והנותר בירושלם קדוש יאמר לו כל הכתוב לחיים בירושלם,4,17.8725577339,-1.0023076334,640.6838766094,-0.4520689182,-1.4543765516,False,19.21
Isa.4.4,אם רחץ אדני את צאת בנות ציון ואת דמי ירושלם ידיח מקרבה ברוח משפט וברוח בער,4,283.3369889447,1.7341760624,2879.3294150743,-0.4899061722,1.2442698902,False,76.14
Isa.4.5,וברא יהוה על כל מכון הר ציון ועל מקראה ענן יומם ועשן ונגה אש להבה לילה כי על כל ,4,162.9092880781,-0.0146085299,93.2707126704,-0.5059774842,-0.5205860141,False,51.51
Isa.4.6,וסכה תהיה לצל יומם מחרב ולמחסה ולמסתור מזרם וממטר,4,60.1646517175,-1.1008769434,487052.3417852905,1.9969063476,0.8960294041999999,False,71.26
Isa.5.1,אשירה נא לידידי שירת דודי לכרמו כרם היה לידידי בקרן בן שמן,5,298.5578278231,1.7319435981,1410.5152017109,-0.5314443686,1.2004992295,False,75.68
Isa.5.2,ויעזקהו ויסקלהו ויטעהו שרק ויבן מגדל בתוכו וגם יקב חצב בו ויקו לעשות ענבים ויעש ,5,62.4852253139,-0.8700162837,28899.3706906199,-0.4090910363,-1.27910732,False,26.26
Isa.5.3,ועתה יושב ירושלם ואיש יהודה שפטו נא ביני ובין כרמי,5,154.1788965414,0.0985993992,30.944607351,-0.9023112831,-0.8037118838999999,False,44.62
Isa.5.4,מה לעשות עוד לכרמי ולא עשיתי בו מדוע קויתי לעשות ענבים ויעש באשים,5,117.3900294793,-0.3946062624,16603.0524549269,0.2201892633,-0.17441699910000003,False,56.08
Isa.5.5,ועתה אודיעה נא אתכם את אשר אני עשה לכרמי הסר משוכתו והיה לבער פרץ גדרו והיה למרמ,5,97.9642712187,-0.6762237155,3365.8822134095,-0.5720468787,-1.2482705942,False,27.96
Isa.5.6,ואשיתהו בתה לא יזמר ולא יעדר ועלה שמיר ושית ועל העבים אצוה מהמטיר עליו מטר,5,369.2242314703,1.0116437876,22041.0132514354,1.4827149617,2.4943587493,False,89.54
Isa.5.7,כי כרם יהוה צבאות בית ישראל ואיש יהודה נטע שעשועיו ויקו למשפט והנה משפח לצדקה וה,5,98.9111123677,-0.7846583674,649.0064107884,-0.7729911697,-1.5576495371,False,15.26
Isa.5.8,הוי מגיעי בית בבית שדה בשדה יקריבו עד אפס מקום והושבתם לבדכם בקרב הארץ,5,427.8236388673,1.1181150636,7784.3616507701,0.1653848813,1.2834999449,False,77.23
Isa.5.9,באזני יהוה צבאות אם לא בתים רבים לשמה יהיו גדלים וטובים מאין יושב,5,88.4741027276,-1.115469678,467.4528475322,-0.5995245434,-1.7149942214,False,10.92
