verse_id,text,raw_ppl_gpt,raw_ppl_dicta,rare_ratio,disc_ppl_gpt,disc_ppl_dicta,global_z_gpt,global_z_dicta,CFI_mag,p_val_gpt,p_val_dicta,p_adj_gpt,p_adj_dicta,Strict_Shared_Seam,p_val_cfi,p_adj_cfi,Significant_CFI_Seam,cfi_percentile,chapter,Regime_ID,Is_Regime_Change
Lev.16.20,וכלה מכפר את הקדש ואת אהל מועד ואת המזבח והקריב את השעיר החי,57.50323798513095,151.4568641113508,0.07692307692307693,49.83613958711349,131.2626155631707,0.06728158002876618,-0.09819303006957858,0.06728158002876618,0.4731787703321935,0.5391104915411318,0.7081065677668773,0.5396339731824624,False,0.997739154065178,1.0,False,74.74,16,1,False
Lev.16.21,וסמך אהרן את שתי ידו ידיו על ראש השעיר החי והתודה עליו את כל עונת בני ישראל ואת כל פשעיהם לכל חטאתם ונתן אתם על ראש השעיר ושלח ביד איש עתי המדברה,25.52591264862693,159.35432555932795,0.0,25.52591264862693,159.35432555932795,-0.24691155399465925,-0.09790846703440825,0.0,0.5975116628339275,0.5389975117139141,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,16,1,False
Lev.16.22,ונשא השעיר עליו את כל עונתם אל ארץ גזרה ושלח את השעיר במדבר,20.461082080992753,40.747052801611154,0.15384615384615385,15.646709826641517,31.15951096593794,-0.37459352521388406,-0.09920705318451385,0.0,0.6460186054368262,0.5395130625717788,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,16,1,False
Lev.16.23,ובא אהרן אל אהל מועד ופשט את בגדי הבד אשר לבש בבאו אל הקדש והניחם שם,42.67051177736263,38.14423015439838,0.125,34.1364094218901,30.515384123518704,-0.1356267447851172,-0.09921357805214699,0.0,0.5539418192362333,0.5395156528383414,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,16,1,False
Lev.16.24,ורחץ את בשרו במים במקום קדוש ולבש את בגדיו ויצא ועשה את עלתו ואת עלת העם וכפר בעדו ובעד העם,20.87001393564148,115.64139601517958,0.05,18.972739941492254,105.12854183198142,-0.33160685017026953,-0.09845776266660915,0.0,0.629906926836981,0.5392155952715081,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,16,1,False
Lev.16.25,ואת חלב החטאת יקטיר המזבחה,83.88367029794246,44281.932882869274,0.2,59.91690735567319,31629.95205919234,0.19756864096737892,0.22088198078568147,0.29634813535688603,0.4216912860125779,0.4125921640814541,0.7081065677668773,0.5396339731824624,False,0.9570390261689766,1.0,False,83.35,16,1,False
Lev.16.26,והמשלח את השעיר לעזאזל יכבס בגדיו ורחץ את בשרו במים ואחרי כן יבוא אל המחנה,17.988794749556153,249.9247432149612,0.06666666666666667,15.872465955490723,220.5218322484952,-0.3716757809317098,-0.09728885322806996,0.0,0.6449328703701195,0.5387514960784574,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,16,1,False
Lev.16.27,ואת פר החטאת ואת שעיר החטאת אשר הובא את דמם לכפר בקדש יוציא אל מחוץ למחנה ושרפו באש את ערתם ואת בשרם ואת פרשם,16.260164543123896,64.62205817773305,0.16666666666666666,12.195123407342923,48.46654363329979,-0.4192029300201904,-0.09903173663218257,0.0,0.66246608453369,0.539443464118182,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,16,1,False
Lev.16.28,והשרף אתם יכבס בגדיו ורחץ את בשרו במים ואחרי כן יבוא אל המחנה,5.5295931458373255,672.4814918840516,0.07692307692307693,4.792314059725682,582.8172929661781,-0.5148792013849598,-0.09361887742580093,0.0,0.6966812822040811,0.537294043271654,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,16,1,False
Lev.16.29,והיתה לכם לחקת עולם בחדש השביעי בעשור לחדש תענו את נפשתיכם וכל מלאכה לא תעשו האזרח והגר הגר בתוככם,10.49142025016311,20.010326263144982,0.05263157894736842,9.492237369195195,18.104580904750225,-0.4541358920769676,-0.09933929684368077,0.0,0.6751344893529849,0.5395655608308352,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,16,1,False
Lev.16.30,כי ביום הזה יכפר עליכם לטהר אתכם מכל חטאתיכם לפני יהוה תטהרו,4.134194255814933,120.27381382559496,0.08333333333333333,3.543595076412799,103.09184042193853,-0.5310180441803963,-0.09847839401781763,0.0,0.7022968624053603,0.5392237861840059,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,16,1,False
Lev.16.31,שבת שבתון היא לכם ועניתם את נפשתיכם חקת עולם,10.1346323089154,180.5387502989058,0.0,10.1346323089154,180.5387502989058,-0.44583337479063384,-0.09769387332676084,0.0,0.6721411941732359,0.5389123096686571,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,16,1,False
Lev.16.32,וכפר הכהן אשר ימשח אתו ואשר ימלא את ידו לכהן תחת אביו ולבש את בגדי הבד בגדי הקדש,62.654243740140224,87.21853609895926,0.05555555555555555,56.3888193661262,78.49668248906333,0.15197050544396018,-0.09872753772579519,0.15197050544396018,0.43960509933132735,0.539322698134184,0.7081065677668773,0.5396339731824624,False,0.9885188994199349,1.0,False,78.7,16,1,False
Lev.16.33,וכפר את מקדש הקדש ואת אהל מועד ואת המזבח יכפר ועל הכהנים ועל כל עם הקהל יכפר,21.84992049344707,22.668244534653372,0.0,21.84992049344707,22.668244534653372,-0.2944212501733075,-0.09929306790374798,0.0,0.6157819845775793,0.5395472088847582,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,16,1,False
Lev.16.34,והיתה זאת לכם לחקת עולם לכפר על בני ישראל מכל חטאתם אחת בשנה ויעש כאשר צוה יהוה את משה,19.925068156536504,31.96294192973343,0.0,19.925068156536504,31.96294192973343,-0.31929865628706117,-0.09919891460008312,0.0,0.625249974236168,0.5395098316834855,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,16,1,False
Lev.17.1,וידבר יהוה אל משה לאמר,5.000564042105444,1.708478018312369,0.0,5.000564042105444,1.708478018312369,-0.5121877121286159,-0.09950538587147467,0.0,0.6957401789277462,0.5396314940910326,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,17,1,False
Lev.17.2,דבר אל אהרן ואל בניו ואל כל בני ישראל ואמרת אליהם זה הדבר אשר צוה יהוה לאמר,6.414265927755044,1.7428552693629746,0.0,6.414265927755044,1.7428552693629746,-0.4939165776323812,-0.09950503763724823,0.0,0.6893174518148564,0.5396313558517465,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,17,1,False
Lev.17.3,איש איש מבית ישראל אשר ישחט שור או כשב או עז במחנה או אשר ישחט מחוץ למחנה,14.269905635528499,10.697588425393885,0.0,14.269905635528499,10.697588425393885,-0.3923877821262927,-0.0994143280988695,0.0,0.6526141439202278,0.539595346529082,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,17,1,False
