verse_id,text,raw_ppl_gpt,raw_ppl_dicta,rare_ratio,disc_ppl_gpt,disc_ppl_dicta,global_z_gpt,global_z_dicta,CFI_mag,p_val_gpt,p_val_dicta,p_adj_gpt,p_adj_dicta,Strict_Shared_Seam,p_val_cfi,p_adj_cfi,Significant_CFI_Seam,cfi_percentile,chapter,Regime_ID,Is_Regime_Change
Isa.1.11,למה לי רב זבחיכם יאמר יהוה שבעתי עלות אילים וחלב מריאים ודם פרים וכבשים ועתודים ,28.5411518279,2173.6558049351,0.2,20.38653701992857,1552.6112892393573,-0.5449631686074806,-0.24325353305216382,0.0,0.7071105753423335,0.5960955006983512,0.7266815425440653,0.6008320478370451,False,1.0,1.0,False,31.56,1,1,False
Isa.1.12,כי תבאו לראות פני מי בקש זאת מידכם רמס חצרי,51.153779881,1631.9668684554,0.2,36.538414200714286,1165.6906203252856,-0.493935479668295,-0.2463079535008442,0.0,0.6893241266842824,0.5972780732145837,0.7266815425440653,0.6008320478370451,False,1.0,1.0,False,31.56,1,1,False
Isa.1.13,לא תוסיפו הביא מנחת שוא קטרת תועבה היא לי חדש ושבת קרא מקרא לא אוכל און ועצרה,159.5120129983,689.9112430399,0.11764705882352941,129.12877242719523,558.4995776989666,-0.20142013018500896,-0.2511012273832101,0.0,0.5798149619289806,0.5991320765065566,0.7266815425440653,0.6008320478370451,False,1.0,1.0,False,31.56,1,1,False
Isa.1.14,חדשיכם ומועדיכם שנאה נפשי היו עלי לטרח נלאיתי נשא,40.5462815724,55595.7774602725,0.3333333333333333,24.327768943440002,33357.4664761635,-0.532511863141304,0.007819639965204682,0.007819639965204682,0.7028142361884857,0.49688044679216214,0.7266815425440653,0.6008320478370451,False,0.9999694270827685,1.0,False,63.36,1,1,False
Isa.1.15,ובפרשכם כפיכם אעלים עיני מכם גם כי תרבו תפלה אינני שמע ידיכם דמים מלאו,34.2678086576,9038.1193188487,0.21428571428571427,23.98746606032,6326.6835231940895,-0.5335869623059766,-0.20556615931791944,0.0,0.7031863347526583,0.5814350930599033,0.7266815425440653,0.6008320478370451,False,1.0,1.0,False,31.56,1,1,False
Isa.1.16,רחצו הזכו הסירו רע מעלליכם מנגד עיני חדלו הרע,54.0918257242,5407.0624379734,0.2222222222222222,37.44818703983077,3743.350918596969,-0.49106128709487806,-0.22595944550593772,0.0,0.6883084493970376,0.589383518806986,0.7266815425440653,0.6008320478370451,False,1.0,1.0,False,31.56,1,1,False
Isa.1.17,למדו היטב דרשו משפט אשרו חמוץ שפטו יתום ריבו אלמנה,85.9644804279,137.9253894966,0.2,61.40320030564286,98.51813535471429,-0.4153816028216434,-0.2547324025474963,0.0,0.6610687139125792,0.6005351060068811,0.7266815425440653,0.6008320478370451,False,1.0,1.0,False,31.56,1,1,False
Isa.1.18,לכו נא ונוכחה יאמר יהוה אם יהיו חטאיכם כשנים כשלג ילבינו אם יאדימו כתולע כצמר יה,7.4940410719,12896.1763878634,0.5,3.74702053595,6448.0881939317,-0.5975314281193207,-0.2046077692946958,0.0,0.7249236847148479,0.5810607075969935,0.7266815425440653,0.6008320478370451,False,1.0,1.0,False,31.56,1,1,False
Isa.1.19,אם תאבו ושמעתם טוב הארץ תאכלו,30.5578019832,5097.7528499632,0.3333333333333333,18.33468118992,3058.6517099779203,-0.551445477745287,-0.2313645826103237,0.0,0.7093358337507005,0.5914842111378887,0.7266815425440653,0.6008320478370451,False,1.0,1.0,False,31.56,1,1,False
Isa.1.20,ואם תמאנו ומריתם חרב תאכלו כי פי יהוה דבר,21.1372589774,1988.491192018,0.2222222222222222,14.633486984353846,1376.6477483201538,-0.5631384459688082,-0.2446426204821899,0.0,0.7133296931381536,0.5966334198883726,0.7266815425440653,0.6008320478370451,False,1.0,1.0,False,31.56,1,1,False
